OrderQuantity,Sales,Discount,Profit,UnitPrice,ShippingCost,Region,ProductCategory,ProductSub-Category,ProductBaseMargin
22,1162.4005,0.09,-284.63,65.99,19.99,West,Technology,Telephones and Communication,0.59
45,356.7,0.02,-48.97,7.38,5.21,Central,Furniture,Office Furnishings,0.56
29,1000.78,0.05,109.33,34.58,8.99,Central,Office Supplies,Pens & Art Supplies,0.56
35,543.72,0.05,-211.13,15.7,11.25,Central,Office Supplies,Storage & Organization,0.6
42,234.2,0.09,56.22,6.08,1.82,East,Office Supplies,Rubber Bands,0.35
44,4509.3775,0.01,1426.26,115.99,5.26,West,Technology,Telephones and Communication,0.57
30,4965.7595,0.08,1198.97,195.99,3.99,Central,Technology,Telephones and Communication,0.58
19,210.4,0.07,-18.96,10.89,4.5,South,Office Supplies,Appliances,0.59
6,1309.53,0.06,19.18,218.08,18.06,South,Furniture,Chairs & Chairmats,0.57
48,806.37,0.01,-166.4,15.42,10.68,South,Office Supplies,Storage & Organization,0.58
33,5437.92,0,-684.57,150.89,60.2,East,Furniture,Chairs & Chairmats,0.77
19,394.27,0.08,30.94,21.78,5.94,Central,Office Supplies,Appliances,0.5
21,146.69,0.05,4.43,6.64,4.95,Central,Furniture,Office Furnishings,0.37
41,129.49,0.04,36.02,3.08,0.99,South,Office Supplies,Labels,0.37
29,202.95,0.02,-50.64,6.48,5.9,South,Office Supplies,Paper,0.37
26,2753.1925,0.04,510.49,125.99,4.2,South,Technology,Telephones and Communication,0.59
13,70.24,0.03,-59.75,4.98,7.44,East,Office Supplies,Paper,0.36
5,40.75,0.05,-27.57,6.48,8.74,East,Office Supplies,Paper,0.36
30,1150.88,0.05,-911.56,38.94,35,East,Office Supplies,Storage & Organization,0.8
38,283.65,0.02,-29.21,6.68,5.41,South,Office Supplies,Paper,0.37
47,840.04,0.04,-131.27,17.7,9.47,East,Office Supplies,Storage & Organization,0.59
50,262.87,0.1,-166.29,5.28,6.26,South,Office Supplies,Paper,0.4
43,2531.0875,0.01,881.68,65.99,2.5,South,Technology,Telephones and Communication,0.55
12,93.54,0.03,-54.04,7.3,7.72,Central,Office Supplies,Binders and Binder Accessories,0.38
22,905.08,0.09,127.7,42.76,6.22,Central,Office Supplies,Storage & Organization,
41,628.22,0,163.81,14.34,5,East,Furniture,Office Furnishings,0.49
24,3366.1,0.07,-335.32,138.75,52.42,East,Furniture,Tables,0.74
39,4913.69,0.02,-1153.9,120.98,58.64,Central,Furniture,Bookcases,0.75
24,464.77,0.01,29.42,18.97,9.54,Central,Office Supplies,Paper,0.37
21,2781.82,0.07,-695.26,138.14,35,Central,Office Supplies,Storage & Organization,
5,1679.58,0.01,-171.92,320.98,58.95,East,Furniture,Chairs & Chairmats,0.57
42,557.85,0.05,89.45,12.95,4.98,Central,Office Supplies,Binders and Binder Accessories,0.4
18,173.2,0.01,-10.9,9.31,3.98,Central,Office Supplies,"Scissors, Rulers and Trimmers",0.56
44,228.41,0.07,-226.36,4.98,8.33,Central,Office Supplies,Paper,0.38
42,75.14,0.05,0.82,1.76,0.7,Central,Office Supplies,Pens & Art Supplies,0.56
42,161.77,0.01,-150.37,3.58,5.47,South,Office Supplies,Binders and Binder Accessories,0.37
11,447.09,0.09,89.03,41.32,8.66,South,Furniture,Office Furnishings,0.76
29,4192.88,0.02,731.32,145.45,17.85,South,Technology,Office Machines,0.56
7,560.51,0.04,32.6,80.98,4.5,East,Office Supplies,Appliances,0.59
31,189.95,0.08,-56.68,6.48,5.14,East,Office Supplies,Paper,0.37
6,28.01,0.09,3.46,4.98,0.49,Central,Office Supplies,Labels,0.39
37,4261.94,0.02,4.15,115.99,56.14,Central,Technology,Office Machines,0.4
18,88.84,0.08,-38.35,4.98,4.72,South,Office Supplies,Paper,0.36
35,589.24,0.08,-38.35,17.52,8.17,East,Office Supplies,Appliances,0.5
25,233.05,0.1,86.93,9.9,1.39,East,Office Supplies,Envelopes,0.37
38,2071.3395,0.06,324.93,65.99,8.99,Central,Technology,Telephones and Communication,0.56
17,126.57,0.03,-752.13,4.48,49,West,Office Supplies,Appliances,0.6
35,43.57,0.1,-19.17,1.26,0.7,East,Office Supplies,Rubber Bands,0.81
8,31.87,0.1,-1.25,4.26,1.2,East,Office Supplies,Pens & Art Supplies,0.44
20,59.85,0.03,-47.41,2.74,3.5,South,Office Supplies,Pens & Art Supplies,0.58
33,378.6,0.08,12.72,11.7,5.63,East,Office Supplies,Binders and Binder Accessories,0.4
2,38.5,0.09,-52.14,15.99,9.4,East,Technology,Office Machines,0.49
39,197.56,0.02,-119.86,4.97,5.71,South,Furniture,Office Furnishings,0.54
45,196.85,0.01,-166.85,4.28,6.18,Central,Office Supplies,Paper,0.4
32,124.56,0.04,-14.33,3.95,2,Central,Office Supplies,Rubber Bands,0.53
7,53.46,0.02,-17.58,6.48,5.9,West,Office Supplies,Paper,0.37
1,19.32,0.03,-20.32,12.53,7.17,Central,Office Supplies,Binders and Binder Accessories,0.38
15,1813.04,0.01,-164.4,115.99,56.14,West,Technology,Office Machines,0.4
18,125.16,0.02,-23.48,6.48,5.14,Central,Office Supplies,Paper,0.37
11,65.7,0.01,13.41,5.84,0.83,Central,Office Supplies,Pens & Art Supplies,0.49
32,716.84,0,134.72,21.78,5.94,Central,Office Supplies,Appliances,0.5
31,1474.33,0.04,114.46,47.98,3.61,Central,Technology,Computer Peripherals,0.71
23,1661.04,0.04,475.54,70.97,3.5,South,Office Supplies,Appliances,0.59
17,104.94,0.06,-34.97,6.24,5.22,West,Furniture,Office Furnishings,0.6
50,1246.52,0.01,52.48,24.92,12.98,Central,Office Supplies,Binders and Binder Accessories,0.39
40,676.13,0.03,45.39,15.98,6.5,East,Technology,Computer Peripherals,0.48
26,7668.55,0.04,-715.78,296.18,54.12,East,Furniture,Tables,0.76
29,1193.65,0.07,507.58,40.98,2.99,East,Office Supplies,Binders and Binder Accessories,0.36
10,1925.83,0.09,359.83,207.48,0.99,Central,Office Supplies,Appliances,0.55
21,1222.68,0.06,300.97,59.98,3.99,Central,Office Supplies,Appliances,0.57
26,390.2,0.02,45,14.58,7.4,Central,Furniture,Office Furnishings,0.48
21,227.66,0.04,-100.16,10.97,6.5,West,Technology,Computer Peripherals,0.64
39,84.33,0.04,-64.29,2.08,2.56,West,Office Supplies,"Scissors, Rulers and Trimmers",0.55
22,922.39,0.03,-41.64,41.32,58.66,South,Furniture,Office Furnishings,0.76
11,79.19,0,13.91,6.88,2,South,Office Supplies,Paper,0.39
15,80.61,0.02,-4.72,5.28,2.99,Central,Office Supplies,Binders and Binder Accessories,0.37
46,605.97,0.07,-22.72,13.73,6.85,East,Furniture,Office Furnishings,0.54
33,4064.05,0.06,1408.19,122.99,19.99,Central,Office Supplies,Binders and Binder Accessories,0.37
47,3213.87,0.08,-1069.72,68.81,60,Central,Office Supplies,Appliances,0.41
50,315.02,0.02,95.16,5.98,1.49,East,Office Supplies,Binders and Binder Accessories,0.39
4,40.02,0.02,-1.28,9.93,1.09,East,Office Supplies,Pens & Art Supplies,0.43
42,11230.25,0.07,-679.04,280.98,35.67,East,Furniture,Tables,0.66
6,90.56,0.03,-37.58,13.99,7.51,West,Technology,Office Machines,0.39
42,1634.9,0.01,502.42,37.74,2.9,West,Office Supplies,Pens & Art Supplies,0.59
48,11278.18,0.01,1836.81,227.55,32.48,West,Furniture,Tables,0.68
38,132.07,0.06,14,3.58,1.63,Central,Office Supplies,Rubber Bands,0.36
46,1815.49,0.03,782.91,39.89,3.04,Central,Furniture,Office Furnishings,0.53
16,248.26,0.07,93.8,15.74,1.39,Central,Office Supplies,Envelopes,0.4
6,583.64,0.08,-179.5,95.43,19.99,East,Office Supplies,Storage & Organization,0.79
19,1406.15,0.04,-379.1,70.98,46.74,West,Furniture,Bookcases,0.56
6,165.75,0.03,-28.46,28.48,1.99,Central,Technology,Computer Peripherals,0.4
11,2021.147,0.01,-60.39,205.99,5.99,Central,Technology,Telephones and Communication,0.59
34,226.1,0,-52.21,6.37,5.19,East,Office Supplies,Binders and Binder Accessories,0.38
41,341.36,0.09,-52.48,8.46,3.62,Central,Technology,Computer Peripherals,0.61
3,469.438,0.07,-888.16,195.99,8.99,South,Technology,Telephones and Communication,0.6
22,127.33,0.02,5.3,5.34,2.99,Central,Office Supplies,Binders and Binder Accessories,0.38
24,990.1,0.03,310.22,40.98,7.47,Central,Office Supplies,Binders and Binder Accessories,0.37
30,1187.55,0,532.61,37.7,2.99,West,Office Supplies,Binders and Binder Accessories,0.35
13,269.02,0.1,-112,20.97,6.5,South,Technology,Computer Peripherals,0.78
28,142.18,0.07,-50.14,4.98,4.72,West,Office Supplies,Paper,0.36
48,5340.5,0.01,1215.28,110.98,13.99,East,Furniture,Office Furnishings,0.69
44,4462.23,0.04,440.72,100.98,26.22,Central,Furniture,Bookcases,0.6
11,663.784,0.25,-481.04,71.37,69,Central,Furniture,Tables,0.68
23,115.1,0.02,53.13,4.91,0.5,East,Office Supplies,Labels,0.36
7,516.65,0.01,57.1,70.97,3.5,East,Office Supplies,Appliances,0.59
7,374.78,0.09,20.03,55.48,14.3,South,Office Supplies,Paper,0.37
14,222.91,0.05,20.21,15.98,4,Central,Technology,Computer Peripherals,0.37
27,129.1,0,-59.82,4.42,4.99,East,Office Supplies,Envelopes,0.38
35,3532.96,0.08,-243.6,100.8,60,East,Furniture,Tables,0.59
25,662.16,0.07,185.21,28.48,1.99,South,Technology,Computer Peripherals,0.4
3,46.46,0.1,-25.13,14.42,6.75,Central,Office Supplies,Appliances,0.52
1,14.68,0.06,-13.78,8.6,6.19,Central,Office Supplies,Binders and Binder Accessories,0.38
11,10145.14,0.03,3724.57,896.99,19.99,Central,Office Supplies,Binders and Binder Accessories,0.38
16,68.45,0.08,-57.88,4.24,5.41,Central,Office Supplies,Binders and Binder Accessories,0.35
48,257.39,0.08,-121.91,5.28,5.57,West,Office Supplies,Paper,0.4
15,494.34,0.05,-30.19,31.98,6.72,South,Office Supplies,Storage & Organization,0.75
40,827.27,0.05,-170.87,20.97,6.5,West,Technology,Computer Peripherals,0.78
26,892.38,0,366.48,31.78,1.99,Central,Technology,Computer Peripherals,0.42
10,29.41,0.01,-2.06,2.78,1.34,Central,Office Supplies,Pens & Art Supplies,0.45
27,3874.12,0,-305.98,130.98,54.74,Central,Furniture,Bookcases,0.69
8,1452.216,0.05,-277.29,218.75,69.64,Central,Furniture,Tables,0.77
46,234.37,0.05,-144.68,5.18,5.74,East,Office Supplies,Binders and Binder Accessories,0.36
14,1000.3565,0.06,229.78,85.99,3.3,East,Technology,Telephones and Communication,0.37
39,3908.65,0.06,480.57,105.29,10.12,South,Furniture,Office Furnishings,0.79
34,840.07,0,-83.75,22.84,16.92,Central,Office Supplies,Paper,0.39
4,42.58,0,-7.61,9.27,4.39,Central,Office Supplies,Paper,0.38
44,523.42,0.06,39.42,11.7,5.63,South,Office Supplies,Binders and Binder Accessories,0.4
40,192.54,0.08,-186.73,4.98,7.44,South,Office Supplies,Paper,0.36
29,156.7,0.06,-76.64,5.28,5.57,South,Office Supplies,Paper,0.4
15,834.904,0.06,-11.68,65.99,5.26,Central,Technology,Telephones and Communication,0.59
18,2480.9205,0.01,313.58,155.99,8.99,Central,Technology,Telephones and Communication,0.58
24,2443.85,0.08,-120.85,100.98,35.84,Central,Furniture,Bookcases,0.62
48,4789.89,0.09,421.15,100.98,26.22,Central,Furniture,Bookcases,0.6
5,89.335,0.06,-107.1,20.99,2.5,East,Technology,Telephones and Communication,0.81
39,158.46,0.06,-130.66,3.98,5.26,East,Office Supplies,Binders and Binder Accessories,0.38
31,7180.83,0.02,487.17,220.98,64.66,East,Furniture,Bookcases,0.62
43,17129.97,0.07,5616.08,415.88,11.37,West,Office Supplies,Storage & Organization,0.57
39,5748.2,0.09,-459.86,160.98,35.02,East,Furniture,Bookcases,0.72
47,6717.9325,0.09,1717.89,175.99,4.99,West,Technology,Telephones and Communication,0.59
13,59.03,0.1,26.92,3.69,0.5,Central,Office Supplies,Labels,0.38
21,97.48,0.05,-5.77,4.71,0.7,Central,Office Supplies,Rubber Bands,0.8
44,4530.96,0.07,-993.35,105.49,41.64,West,Furniture,Tables,0.75
41,726.22,0.01,52.47,17.67,8.99,South,Furniture,Office Furnishings,0.47
32,21717.36,0.06,8249.86,699.99,24.49,East,Technology,Copiers and Fax,0.41
13,15823.27,0.04,1759.34,1360.14,14.7,East,Technology,Office Machines,0.59
2,21.44,0.02,-13.67,6.48,8.74,East,Office Supplies,Paper,0.36
24,416.4,0.02,24.33,17.15,4.96,East,Office Supplies,Storage & Organization,0.58
25,772.24,0.07,181.98,30.98,8.74,East,Office Supplies,Paper,0.4
3,1326.09,0,-20.55,420.98,19.99,Central,Office Supplies,Binders and Binder Accessories,0.35
30,339.49,0.08,-74.21,11.97,5.81,Central,Office Supplies,Pens & Art Supplies,0.6
40,2135.9735,0.07,239.4,65.99,8.99,East,Technology,Telephones and Communication,0.59
31,293.18,0.08,64.22,10.01,1.99,South,Technology,Computer Peripherals,0.41
29,4345.86,0.09,126.62,152.48,4,East,Technology,Computer Peripherals,0.79
5,16.6,0.07,-20.3,2.16,6.05,East,Office Supplies,Binders and Binder Accessories,0.37
15,1297.304,0,149.82,95.99,4.9,Central,Technology,Telephones and Communication,0.56
33,511.83,0.1,-172.88,15.99,13.18,Central,Office Supplies,Binders and Binder Accessories,0.37
38,184.99,0.05,-144.55,4.89,4.93,Central,Technology,Computer Peripherals,0.66
30,80.9,0.09,5.76,2.88,0.7,Central,Office Supplies,Pens & Art Supplies,0.56
47,2150.25,0.06,586.93,48.58,3.99,South,Office Supplies,Appliances,0.56
13,448,0.08,27.2,35.51,6.31,South,Office Supplies,Storage & Organization,0.58
13,759.94,0.09,-226.45,60.89,32.41,Central,Furniture,Chairs & Chairmats,0.56
26,133.65,0.05,56.28,4.98,0.8,West,Office Supplies,Paper,0.36
10,525.674,0.08,-147.02,65.99,5.26,West,Technology,Telephones and Communication,0.56
32,303.59,0.1,-45.99,9.65,6.22,Central,Furniture,Office Furnishings,0.55
36,191.6,0.04,-150.74,4.98,7.44,Central,Office Supplies,Paper,0.36
47,622.82,0,128.88,12.64,4.98,South,Furniture,Office Furnishings,0.48
36,1225.52,0.1,-1191.13,35.48,35,West,Office Supplies,Storage & Organization,0.85
10,1024.29,0.07,-95.52,99.99,19.99,West,Technology,Computer Peripherals,0.52
47,1348.57,0.08,19.57,30.98,8.99,West,Office Supplies,Pens & Art Supplies,0.58
24,163.14,0.09,-62.2,6.78,6.18,Central,Office Supplies,Paper,0.39
26,755.6075,0.05,149.17,35.99,1.1,East,Technology,Telephones and Communication,0.55
19,5642.18,0.09,1996.68,315.98,19.99,South,Office Supplies,Binders and Binder Accessories,0.38
40,430.88,0.05,39,11.09,5.25,Central,Office Supplies,Envelopes,0.36
49,2047.58,0.01,902.62,40.98,1.99,Central,Technology,Computer Peripherals,0.44
1,56.61,0.02,-22.16,40.97,14.45,Central,Furniture,Office Furnishings,0.57
23,67.24,0.06,4.9,2.84,0.93,Central,Office Supplies,Pens & Art Supplies,0.54
25,12028.23,0.01,-547.61,449.99,49,Central,Technology,Copiers and Fax,0.38
29,857.11,0.07,285.2,31.78,1.99,West,Technology,Computer Peripherals,0.42
11,69.6,0,6.46,5.98,2.5,West,Office Supplies,Envelopes,0.36
43,1279.505,0.1,384.2,35.99,1.1,West,Technology,Telephones and Communication,0.55
7,59.99,0.1,-13.78,8.34,4.82,West,Office Supplies,Paper,0.4
10,46.34,0.05,-7.76,4.71,0.7,West,Office Supplies,Rubber Bands,0.8
28,370.48,0.04,-5.45,13.48,4.51,Central,Office Supplies,Storage & Organization,0.59
36,233.43,0.03,-71.9,6.28,5.36,Central,Office Supplies,Binders and Binder Accessories,0.4
43,183.41,0.07,-125.41,4.13,5.04,South,Office Supplies,Binders and Binder Accessories,0.38
10,1187.12,0.06,-127.3,113.98,30,Central,Furniture,Chairs & Chairmats,0.69
16,108.31,0.05,-52.77,6.48,6.86,Central,Office Supplies,Paper,0.37
39,10656.26,0.06,3116.54,276.2,24.49,West,Furniture,Chairs & Chairmats,
2,17.06,0.09,-5.2,6.28,5.29,West,Furniture,Office Furnishings,0.43
22,38.26,0.03,-2.34,1.76,0.7,East,Office Supplies,Pens & Art Supplies,0.56
5,28.32,0.09,-14.35,4.98,4.75,Central,Office Supplies,Paper,0.36
48,133.04,0.07,6.73,2.78,1.49,South,Office Supplies,Binders and Binder Accessories,0.36
33,12586.19,0,619.71,370.98,99,East,Office Supplies,Storage & Organization,0.65
24,1449.3,0.08,-712.14,60.98,49,Central,Office Supplies,Appliances,0.59
43,4374.6865,0.05,973.16,125.99,8.08,Central,Technology,Telephones and Communication,0.57
44,4283.235,0.1,676.13,125.99,8.8,Central,Technology,Telephones and Communication,0.59
37,199.76,0.07,20,5.58,1.99,West,Office Supplies,Pens & Art Supplies,0.46
26,2415.38,0.08,-1131.6,95.95,74.35,West,Furniture,Chairs & Chairmats,0.57
38,1264.46,0,-1249.39,31.76,45.51,West,Furniture,Tables,0.65
35,158.25,0.09,-114.74,4.57,5.42,West,Office Supplies,Binders and Binder Accessories,0.37
3,302.36,0.09,290.31,107.53,5.81,Central,Furniture,Office Furnishings,0.65
47,193.63,0.05,-152.52,3.98,5.26,East,Office Supplies,Binders and Binder Accessories,0.38
9,64.29,0.01,-18.85,6.48,5.4,East,Office Supplies,Paper,0.37
5,41.25,0.02,-23.25,6.48,7.91,South,Office Supplies,Paper,0.37
24,7871.91,0.05,541.47,328.14,91.05,East,Office Supplies,Appliances,0.57
40,909.82,0.02,292.49,22.98,1.99,South,Technology,Computer Peripherals,0.46
7,1874.37,0.08,67.84,276.2,24.49,Central,Furniture,Chairs & Chairmats,
24,7287.55,0.04,-715.78,296.18,54.12,East,Furniture,Tables,0.76
13,137.64,0.06,19.59,10.91,2.99,East,Office Supplies,Binders and Binder Accessories,0.38
33,15464.01,0.05,4407.44,535.64,14.7,East,Technology,Office Machines,0.59
1,11.35,0.09,-7.96,5.78,5.67,East,Office Supplies,Paper,0.36
9,122.14,0.04,-16.99,13.48,4.51,East,Office Supplies,Storage & Organization,0.59
27,3491.06,0.09,921.7,136.98,24.49,East,Furniture,Office Furnishings,0.59
37,14383.83,0.01,5050.1,399.98,12.06,East,Technology,Office Machines,0.56
42,213.75,0.03,-188.77,5.02,5.14,Central,Technology,Computer Peripherals,0.79
45,186.44,0,-157.18,3.95,5.13,Central,Office Supplies,Appliances,0.59
4,294.89,0.09,-321.84,73.98,12.14,South,Technology,Computer Peripherals,0.67
50,246.57,0.06,-132.51,4.98,5.49,South,Office Supplies,Paper,0.38
12,3752.61,0.01,637.93,294.62,42.52,South,Office Supplies,Appliances,0.57
9,548.36,0.1,78.63,60.97,4.5,South,Office Supplies,Appliances,0.56
16,44.46,0.06,5.27,2.89,0.99,South,Office Supplies,Labels,0.38
25,542.11,0.08,-14.76,22.84,11.54,South,Office Supplies,Paper,0.39
23,107.93,0,-68.14,4.13,5.34,West,Office Supplies,Binders and Binder Accessories,0.38
39,19342.84,0.01,5603.95,500.98,126,Central,Furniture,Chairs & Chairmats,0.6
7,771.783,0.08,-449.53,140.99,4.2,Central,Technology,Telephones and Communication,0.59
1,343.78,0.09,-246.51,363.25,19.99,South,Office Supplies,Appliances,0.57
34,826.09,0.03,215.86,22.98,7.58,South,Furniture,Office Furnishings,0.51
7,66.41,0.05,-32.35,8.74,8.29,West,Office Supplies,Envelopes,0.38
16,692.73,0.01,94.97,40.99,17.48,East,Office Supplies,Paper,0.36
24,1411.58,0.01,699.31,55.98,4.86,South,Office Supplies,Paper,0.36
38,2115.242,0.04,371.41,65.99,8.99,South,Technology,Telephones and Communication,0.56
9,1246.68,0.01,218.48,128.24,12.65,South,Furniture,Chairs & Chairmats,
40,5945.3675,0.08,1585.48,175.99,4.99,South,Technology,Telephones and Communication,0.59
41,6111.1685,0.06,1663.08,175.99,4.99,Central,Technology,Telephones and Communication,0.59
44,113.71,0.07,41.7,2.61,0.5,Central,Office Supplies,Labels,0.39
15,605.1,0.04,92.81,40.98,5.33,Central,Office Supplies,Appliances,0.57
4,43.56,0.01,21.21,9.38,4.93,South,Furniture,Office Furnishings,0.57
21,3905.75,0.01,55.3,179.29,29.21,East,Furniture,Tables,0.76
40,102.56,0.06,36.62,2.61,0.5,Central,Office Supplies,Labels,0.39
3,15.87,0.01,2.53,3.49,0.76,Central,Office Supplies,Rubber Bands,0.39
7,82.06,0.07,-26.99,11.5,7.19,Central,Office Supplies,Binders and Binder Accessories,0.4
41,23281.05,0.09,9097.65,599.99,24.49,Central,Technology,Copiers and Fax,0.37
27,9418.73,0,2245.24,320.98,58.95,Central,Furniture,Chairs & Chairmats,0.57
1,5.68,0.02,-1.82,4.76,0.88,Central,Office Supplies,Paper,0.39
42,174.59,0.08,25.88,4.28,0.94,Central,Office Supplies,Pens & Art Supplies,0.56
13,1265.497,0.1,-161.12,125.99,3,Central,Technology,Telephones and Communication,0.59
22,1651.09,0.05,-2.38,73.98,12.14,East,Technology,Computer Peripherals,0.67
14,95.89,0,-46.31,5.98,7.15,East,Office Supplies,Paper,0.36
23,80.38,0.09,-71.11,3.57,4.17,East,Office Supplies,Pens & Art Supplies,0.59
6,40.31,0.08,-32.27,5.78,8.09,East,Office Supplies,Paper,0.36
